#	size	offset	1try	2try	3try
6	128	16	194	194	194
7	256	32	194	186	186
8	512	64	186	186	219
9	1024	128	186	186	186
10	2048	256	188	186	186
11	4096	512	194	197	194
12	8192	1024	830	804	801
13	16384	2048	812	803	803
14	32768	4096	805	852	852
15	65536	8192	281474976645915	796	808
16	131072	16384	796	797	806
17	262144	32768	815	816	817
18	524288	65536	813	816	813
19	1048576	131072	1226	17592186041509	1192
20	2097152	262144	814	8796093020972	811
21	4194304	524288	796	4398046510876	4398046510875
22	8388608	1048576	164	2199023255204	164
23	16777216	2097152	34	48	47
